編號,寶可夢,屬性1,屬性2,最高CP,攻擊,防禦,耐力,代,圖片連結,詳情頁
1,妙蛙種子,Grass,Poison,1260,118,111,128,1,http://db.pokemonhubs.com/zh/imgs/2081727002602e3bd33f354.png,http://db.pokemonhubs.com/zh/detail.php?p_id=2
2,妙蛙草,Grass,Poison,1921,151,143,155,1,http://db.pokemonhubs.com/zh/imgs/542358709602f47cf8de86.png,http://db.pokemonhubs.com/zh/detail.php?p_id=3
3,妙蛙花,Grass,Poison,3075,198,189,190,1,http://db.pokemonhubs.com/zh/imgs/910030718602f488af3545.png,http://db.pokemonhubs.com/zh/detail.php?p_id=4
4,小火龍,Fire,,1108,116,93,118,1,http://db.pokemonhubs.com/zh/imgs/91492110360446a1288d01.png,http://db.pokemonhubs.com/zh/detail.php?p_id=5
5,火恐龍,Fire,,1868,158,126,151,1,http://db.pokemonhubs.com/zh/imgs/1340197757604475028c8d6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=6
6,噴火龍,Fire,Flying,3266,223,173,186,1,http://db.pokemonhubs.com/zh/imgs/15294053766044902701e42.png,http://db.pokemonhubs.com/zh/detail.php?p_id=7
7,傑尼龜,Water,,1069,94,121,127,1,http://db.pokemonhubs.com/zh/imgs/22212695660449bf52a8b1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=8
8,卡咪龜,Water,,1682,126,155,153,1,http://db.pokemonhubs.com/zh/imgs/557913296044a0c23de31.png,http://db.pokemonhubs.com/zh/detail.php?p_id=9
9,水箭龜,Water,,2788,171,207,188,1,http://db.pokemonhubs.com/zh/imgs/8937426736044a363a7b92.png,http://db.pokemonhubs.com/zh/detail.php?p_id=10
10,綠毛蟲,Bug,,494,55,55,128,1,http://db.pokemonhubs.com/zh/imgs/21040790526044c20873749.png,http://db.pokemonhubs.com/zh/detail.php?p_id=11
11,鐵甲蛹,Bug,,509,45,80,137,1,http://db.pokemonhubs.com/zh/imgs/13133136846044c8ef40f9f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=12
12,巴大蝶,Bug,Flying,2065,167,137,155,1,http://db.pokemonhubs.com/zh/imgs/19061471506044ca9e7daf9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=13
13,獨角蟲,Bug,Poison,515,63,50,120,1,http://db.pokemonhubs.com/zh/imgs/6468725196044cc7f1c7e1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=14
14,鐵殼蛹,Bug,Poison,488,46,75,128,1,http://db.pokemonhubs.com/zh/imgs/10740946916044cd9eea2a2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=15
15,大針蜂,Bug,Poison,2087,169,130,163,1,http://db.pokemonhubs.com/zh/imgs/3204618116044d4a21c12d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=16
16,波波,Normal,Flying,769,85,73,120,1,http://db.pokemonhubs.com/zh/imgs/631726266044d8517ae89.png,http://db.pokemonhubs.com/zh/detail.php?p_id=17
17,比比鳥,Normal,Flying,1350,117,105,160,1,http://db.pokemonhubs.com/zh/imgs/10746602886044dbe450cd3.png,http://db.pokemonhubs.com/zh/detail.php?p_id=18
18,大比鳥,Normal,Flying,2407,166,154,195,1,http://db.pokemonhubs.com/zh/imgs/12533514416044dd968740a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=19
19,小拉達,Normal,,830,103,70,102,1,http://db.pokemonhubs.com/zh/imgs/20946223406044ecfd3a4f7.png,http://db.pokemonhubs.com/zh/detail.php?p_id=20
20,拉達,Normal,,1956,161,139,146,1,http://db.pokemonhubs.com/zh/imgs/18482298416044edcf4eedd.png,http://db.pokemonhubs.com/zh/detail.php?p_id=21
21,烈雀,Normal,Flying,902,112,60,102,1,http://db.pokemonhubs.com/zh/imgs/12870137006044f07e8fcc1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=22
22,大嘴雀,Normal,Flying,2257,182,133,163,1,http://db.pokemonhubs.com/zh/imgs/19471321866044f24c9f30d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=23
23,阿柏蛇,Poison,,1048,110,97,111,1,http://db.pokemonhubs.com/zh/imgs/4835177896044f359e6c7d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=24
24,阿柏怪,Poison,,2171,167,153,155,1,http://db.pokemonhubs.com/zh/imgs/4804573506044f42e6ca42.png,http://db.pokemonhubs.com/zh/detail.php?p_id=25
